Longitud,Latitud,weighted_adjusted_score
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.125
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.00862,50.64988,0.125
3.00862,50.64988,0.125
3.00862,50.64988,0.25
3.00862,50.64988,0.25
3.00862,50.64988,0.25
3.00862,50.64988,0.25
3.00862,50.64988,0.25
3.00862,50.64988,0.25
3.00862,50.64988,0.125
3.00862,50.64988,0.25
3.00862,50.64988,0.25
3.00862,50.64988,0.25
3.00862,50.64988,0.25
3.00862,50.64988,0.25
3.00862,50.64988,0.25
3.00862,50.64988,0.25
3.00862,50.64988,0.25
3.00862,50.64988,0.25
2.99575,50.63709,0.125
2.99575,50.63709,0.125
2.99575,50.63709,0.25
2.99575,50.63709,0.25
2.99575,50.63709,0.25
2.99575,50.63709,0.25
2.99575,50.63709,0.25
2.99575,50.63709,0.25
2.99575,50.63709,0.125
2.99575,50.63709,0.25
2.99575,50.63709,0.25
2.99575,50.63709,0.25
2.99575,50.63709,0.25
2.99575,50.63709,0.25
2.99575,50.63709,0.25
2.99575,50.63709,0.25
2.99575,50.63709,0.25
2.99575,50.63709,0.25
2.97786,50.64006,0.125
2.97786,50.64006,0.125
2.97786,50.64006,0.25
2.97786,50.64006,0.25
2.97786,50.64006,0.25
2.97786,50.64006,0.25
2.97786,50.64006,0.25
2.97786,50.64006,0.25
2.97786,50.64006,0.125
2.97786,50.64006,0.25
2.97786,50.64006,0.25
2.97786,50.64006,0.25
2.97786,50.64006,0.25
2.97786,50.64006,0.25
2.97786,50.64006,0.25
2.97786,50.64006,0.25
2.97786,50.64006,0.25
2.97786,50.64006,0.25
3.0447,50.61984,0.125
3.0447,50.61984,0.125
3.0447,50.61984,0.25
3.0447,50.61984,0.25
3.0447,50.61984,0.25
3.0447,50.61984,0.25
3.0447,50.61984,0.25
3.0447,50.61984,0.25
3.0447,50.61984,0.125
3.0447,50.61984,0.25
3.0447,50.61984,0.25
3.0447,50.61984,0.25
3.0447,50.61984,0.25
3.0447,50.61984,0.25
3.0447,50.61984,0.25
3.0447,50.61984,0.25
3.0447,50.61984,0.25
3.0447,50.61984,0.25
3.05319,50.6127,0.125
3.05319,50.6127,0.125
3.05319,50.6127,0.25
3.05319,50.6127,0.25
3.05319,50.6127,0.25
3.05319,50.6127,0.25
3.05319,50.6127,0.25
3.05319,50.6127,0.25
3.05319,50.6127,0.125
3.05319,50.6127,0.25
3.05319,50.6127,0.25
3.05319,50.6127,0.25
3.05319,50.6127,0.25
3.05319,50.6127,0.25
3.05319,50.6127,0.25
3.05319,50.6127,0.25
3.05319,50.6127,0.25
3.05319,50.6127,0.25
3.01239,50.62708,0.125
3.01239,50.62708,0.125
3.01239,50.62708,0.25
3.01239,50.62708,0.25
3.01239,50.62708,0.25
3.01239,50.62708,0.25
3.01239,50.62708,0.25
3.01239,50.62708,0.25
3.01239,50.62708,0.125
3.01239,50.62708,0.25
3.01239,50.62708,0.25
3.01239,50.62708,0.25
3.01239,50.62708,0.25
3.01239,50.62708,0.25
3.01239,50.62708,0.25
3.01239,50.62708,0.25
3.01239,50.62708,0.25
3.01239,50.62708,0.25
3.00703,50.63667,0.125
3.00703,50.63667,0.125
3.00703,50.63667,0.25
3.00703,50.63667,0.25
3.00703,50.63667,0.25
3.00703,50.63667,0.25
3.00703,50.63667,0.25
3.00703,50.63667,0.25
3.00703,50.63667,0.125
3.00703,50.63667,0.25
3.00703,50.63667,0.25
3.00703,50.63667,0.25
3.00703,50.63667,0.25
3.00703,50.63667,0.25
3.00703,50.63667,0.25
3.00703,50.63667,0.25
3.00703,50.63667,0.25
3.00703,50.63667,0.25
3.00792,50.64791,0.125
3.00792,50.64791,0.125
3.00792,50.64791,0.25
3.00792,50.64791,0.25
3.00792,50.64791,0.25
3.00792,50.64791,0.25
3.00792,50.64791,0.25
3.00792,50.64791,0.25
3.00792,50.64791,0.125
3.00792,50.64791,0.25
3.00792,50.64791,0.25
3.00792,50.64791,0.25
3.00792,50.64791,0.25
3.00792,50.64791,0.25
3.00792,50.64791,0.25
3.00792,50.64791,0.25
3.00792,50.64791,0.25
3.00792,50.64791,0.25
3.07328,50.6294,0.125
3.07328,50.6294,0.125
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.125
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.03818,50.61255,0.125
3.03818,50.61255,0.125
3.03818,50.61255,0.25
3.03818,50.61255,0.25
3.03818,50.61255,0.25
3.03818,50.61255,0.25
3.03818,50.61255,0.25
3.03818,50.61255,0.25
3.03818,50.61255,0.125
3.03818,50.61255,0.25
3.03818,50.61255,0.25
3.03818,50.61255,0.25
3.03818,50.61255,0.25
3.03818,50.61255,0.25
3.03818,50.61255,0.25
3.03818,50.61255,0.25
3.03818,50.61255,0.25
3.03818,50.61255,0.25
3.00772,50.64344,0.125
3.00772,50.64344,0.125
3.00772,50.64344,0.25
3.00772,50.64344,0.25
3.00772,50.64344,0.25
3.00772,50.64344,0.25
3.00772,50.64344,0.25
3.00772,50.64344,0.25
3.00772,50.64344,0.125
3.00772,50.64344,0.25
3.00772,50.64344,0.25
3.00772,50.64344,0.25
3.00772,50.64344,0.25
3.00772,50.64344,0.25
3.00772,50.64344,0.25
3.00772,50.64344,0.25
3.00772,50.64344,0.25
3.00772,50.64344,0.25
2.98069,50.63844,0.125
2.98069,50.63844,0.125
2.98069,50.63844,0.25
2.98069,50.63844,0.25
2.98069,50.63844,0.25
2.98069,50.63844,0.25
2.98069,50.63844,0.25
2.98069,50.63844,0.25
2.98069,50.63844,0.125
2.98069,50.63844,0.25
2.98069,50.63844,0.25
2.98069,50.63844,0.25
2.98069,50.63844,0.25
2.98069,50.63844,0.25
2.98069,50.63844,0.25
2.98069,50.63844,0.25
2.98069,50.63844,0.25
2.98069,50.63844,0.25
2.97739,50.65152,0.125
2.97739,50.65152,0.125
2.97739,50.65152,0.25
2.97739,50.65152,0.25
2.97739,50.65152,0.25
2.97739,50.65152,0.25
2.97739,50.65152,0.25
2.97739,50.65152,0.25
2.97739,50.65152,0.125
2.97739,50.65152,0.25
2.97739,50.65152,0.25
2.97739,50.65152,0.25
2.97739,50.65152,0.25
2.97739,50.65152,0.25
2.97739,50.65152,0.25
2.97739,50.65152,0.25
2.97739,50.65152,0.25
2.97739,50.65152,0.25
3.07328,50.6294,0.125
3.07328,50.6294,0.125
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.125
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
3.07328,50.6294,0.25
