nom site,indicator,Organisme,code zas,Zas,code site,type d'implantation,Polluant,type d'influence,Réglementaire,type d'évaluation,type de valeur,valeur,valeur brute,unité de mesure,taux de saisie,couverture temporelle,couverture de données,code qualité,validité,Latitude,Longitude
Bld peripherique Est,0.625,AIRPARIF,FR11ZAG01,ZAG PARIS,FR04329,Urbaine,PM2.5,Trafic,Oui,mesures fixes,Moy. journalière,11.0,10.65,µg-m3,100.0,100,100.0,A,1,48.838615,2.412781
Boulevard Haussmann,0.0,AIRPARIF,FR11ZAG01,ZAG PARIS,FR04131,Urbaine,NO2,Trafic,Oui,mesures fixes,Max. journalier moy. hor.,42.8,42.775,µg-m3,100.0,100,100.0,R,1,48.873333,2.330278
CERGY-PONTOISE,1.0,AIRPARIF,FR11ZAG01,ZAG PARIS,FR04023,Urbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,100.8,100.75,µg-m3,100.0,100,100.0,A,1,49.04639,2.043056
GENNEVILLIERS,0.7222222222222222,AIRPARIF,FR11ZAG01,ZAG PARIS,FR04002,Urbaine,PM2.5,Fond,Oui,mesures fixes,Moy. journalière,29.0,29.1958333333,µg-m3,100.0,100,100.0,A,1,48.930319,2.29435
LES ULIS,1.0,AIRPARIF,FR11ZAG01,ZAG PARIS,FR04049,Périurbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,103.6,103.6,µg-m3,100.0,100,100.0,A,1,48.679443,2.165556
LOGNES,1.0,AIRPARIF,FR11ZAG01,ZAG PARIS,FR04098,Urbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,105.3,105.3,µg-m3,100.0,100,100.0,A,1,48.84028,2.635278
NEUILLY-SUR-SEINE,0.8333333333333334,AIRPARIF,FR11ZAG01,ZAG PARIS,FR04017,Urbaine,NO2,Fond,Oui,mesures fixes,Max. journalier moy. hor.,49.3,49.275,µg-m3,100.0,100,100.0,A,1,48.88139,2.278056
PARIS 18eme,0.8235294117647058,AIRPARIF,FR11ZAG01,ZAG PARIS,FR04004,Urbaine,PM2.5,Fond,Oui,mesures fixes,Moy. journalière,21.0,20.6913043478,µg-m3,96.0,100,96.0,A,1,48.891666,2.346667
Place Victor Basch,0.125,AIRPARIF,FR11ZAG01,ZAG PARIS,FR04012,Urbaine,NO2,Trafic,Oui,mesures fixes,Max. journalier moy. hor.,41.7,41.675,µg-m3,100.0,100,100.0,A,1,48.827778,2.3275
Place de l'Opéra,0.375,AIRPARIF,FR11ZAG01,ZAG PARIS,FR04118,Urbaine,NO2,Trafic,Oui,mesures fixes,Max. journalier moy. hor.,41.1,41.05,µg-m3,100.0,100,100.0,A,1,48.870274,2.3325
Quai des Celestins,1.0,AIRPARIF,FR11ZAG01,ZAG PARIS,FR04141,Urbaine,NO2,Trafic,Oui,mesures fixes,Max. journalier moy. hor.,130.8,130.825,µg-m3,100.0,100,100.0,A,1,48.85278,2.360556
RAMBOUILLET,0.8,AIRPARIF,FR11ZRE01,ZR ILE-DE-FRANCE,FR04181,Périurbaine,PM2.5,Fond,Oui,mesures fixes,Moy. journalière,22.0,21.8458333333,µg-m3,100.0,100,100.0,A,1,48.63373,1.830529
RD934 Coulommiers,0.3421052631578947,AIRPARIF,FR11ZRE01,ZR ILE-DE-FRANCE,FR04173,Périurbaine,PM2.5,Trafic,Oui,mesures fixes,Moy. journalière,16.0,16.4666666667,µg-m3,100.0,100,100.0,A,1,48.8059,3.084158
RN2-PANTIN,0.6666666666666666,AIRPARIF,FR11ZAG01,ZAG PARIS,FR04123,Urbaine,NO2,Trafic,Oui,mesures fixes,Max. journalier moy. hor.,40.4,40.375,µg-m3,92.0,100,92.0,R,1,48.90222,2.390833
