nom site,SOMO35 Subscore_x,Organisme,code zas,Zas,code site,type d'implantation,Polluant,type d'influence,Réglementaire,type d'évaluation,type de valeur,valeur,valeur brute,unité de mesure,taux de saisie,couverture temporelle,couverture de données,code qualité,validité,Latitude,Longitude
VILLEMOMBLE,4746.7,AIRPARIF,FR11ZAG01,ZAG PARIS,FR04100,Urbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,53.8,53.8,µg-m3,100.0,100,100.0,R,1,48.881947,2.507222
VITRY-SUR-SEINE,5617.6,AIRPARIF,FR11ZAG01,ZAG PARIS,FR04034,Urbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,55.1,55.1,µg-m3,100.0,100,100.0,A,1,48.775897,2.375788
Zone Rurale Est,4656.5,AIRPARIF,FR11ZRE01,ZR ILE-DE-FRANCE,FR04324,Rurale régionale,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,57.9,57.85,µg-m3,100.0,100,100.0,R,1,48.761665,3.058333
Zone Rurale NO,5360.2,AIRPARIF,FR11ZRE01,ZR ILE-DE-FRANCE,FR04158,Rurale régionale,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,63.8,63.75,µg-m3,100.0,100,100.0,R,1,49.063087,1.866381
Zone Rurale Nord,5910.4,AIRPARIF,FR11ZRE01,ZR ILE-DE-FRANCE,FR04048,Rurale régionale,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,62.8,62.8,µg-m3,100.0,100,100.0,A,1,49.100277,2.343889
Zone Rurale Nord-Est,4584.8,AIRPARIF,FR11ZRE01,ZR ILE-DE-FRANCE,FR04142,Rurale régionale,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,58.1,58.05,µg-m3,100.0,100,100.0,R,1,49.028057,2.750278
Zone Rurale SE,5358.2,AIRPARIF,FR11ZRE01,ZR ILE-DE-FRANCE,FR04328,Rurale régionale,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,57.1,57.05,µg-m3,100.0,100,100.0,A,1,48.3547,2.6453
Zone Rurale SO,5397.3,AIRPARIF,FR11ZRE01,ZR ILE-DE-FRANCE,FR04038,Rurale régionale,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,59.0,58.95,µg-m3,100.0,100,100.0,A,1,48.581944,1.883333
Zone rurale Sud,5454.8,AIRPARIF,FR11ZRE01,ZR ILE-DE-FRANCE,FR04066,Rurale régionale,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,57.5,57.45,µg-m3,100.0,100,100.0,A,1,48.364166,2.236944
ANNEMASSE,6328.1,ATMO AUVERGNE-RHÔNE-ALPES,FR84ZAR01,ZAR PAYS-DE-SAVOIE,FR33211,Urbaine,O3,Fond,Oui,mesures indicatives,Max. journalier moy. hor.,49.1,49.125,µg-m3,100.0,100,100.0,A,1,46.19583,6.240556
Albertville,6255.0,ATMO AUVERGNE-RHÔNE-ALPES,FR84ZAR04,ZAR VALLEE-DE-LA-TARANTAISE,FR33121,Urbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,34.1,34.125,µg-m3,100.0,100,100.0,R,1,45.675,6.389722
